,song_title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
52,The Harder They Fall,Koffee,6AxSYAHq0U6fKykB7uScPl,0.749,0.887,0,-3.118,1,0.0957,0.00062,1.35e-05,0.105,0.842,110.556,audio_features,spotify:track:6AxSYAHq0U6fKykB7uScPl,https://api.spotify.com/v1/tracks/6AxSYAHq0U6fKykB7uScPl,https://api.spotify.com/v1/audio-analysis/6AxSYAHq0U6fKykB7uScPl,168705,5
53,Breathe (feat. Sean Paul) - Rap Version,Blu Cantrell,3pBUTBAPHoDZAdH4RS0sAn,0.8,0.663,2,-3.832,1,0.0324,0.048,0.0,0.252,0.472,91.934,audio_features,spotify:track:3pBUTBAPHoDZAdH4RS0sAn,https://api.spotify.com/v1/tracks/3pBUTBAPHoDZAdH4RS0sAn,https://api.spotify.com/v1/audio-analysis/3pBUTBAPHoDZAdH4RS0sAn,228000,4
54,Run Home - Instrumental,Priestess,0CLbo6NeDUU7FKfharjEgG,0.541,0.874,1,-5.131,1,0.0392,0.000113,0.891,0.129,0.578,122.0,audio_features,spotify:track:0CLbo6NeDUU7FKfharjEgG,https://api.spotify.com/v1/tracks/0CLbo6NeDUU7FKfharjEgG,https://api.spotify.com/v1/audio-analysis/0CLbo6NeDUU7FKfharjEgG,217000,4
55,One Of A Kind,Machel Montano,0gUKJUEvxvxFjngZYvsSed,0.77,0.836,9,-5.413,1,0.0581,0.124,0.0,0.129,0.609,126.991,audio_features,spotify:track:0gUKJUEvxvxFjngZYvsSed,https://api.spotify.com/v1/tracks/0gUKJUEvxvxFjngZYvsSed,https://api.spotify.com/v1/audio-analysis/0gUKJUEvxvxFjngZYvsSed,221168,4
56,What Were We Thinking,Joss Stone,4OED0Ind2o6WobApz2xZyr,0.342,0.435,10,-7.265,1,0.0556,0.198,0.0,0.379,0.16,82.302,audio_features,spotify:track:4OED0Ind2o6WobApz2xZyr,https://api.spotify.com/v1/tracks/4OED0Ind2o6WobApz2xZyr,https://api.spotify.com/v1/audio-analysis/4OED0Ind2o6WobApz2xZyr,264907,4
57,Can You Tell It's Me,Kowan Paul,0NLoUesyTzIblMfbRNFLaG,0.734,0.622,1,-6.158,0,0.0599,0.0735,0.0,0.499,0.585,97.9,audio_features,spotify:track:0NLoUesyTzIblMfbRNFLaG,https://api.spotify.com/v1/tracks/0NLoUesyTzIblMfbRNFLaG,https://api.spotify.com/v1/audio-analysis/0NLoUesyTzIblMfbRNFLaG,239733,4
58,Hold On,En vogue,0bvgtrLM5R7Hq1KZvMV0TI,0.766,0.526,1,-8.419,1,0.138,0.0737,0.0,0.397,0.841,98.287,audio_features,spotify:track:0bvgtrLM5R7Hq1KZvMV0TI,https://api.spotify.com/v1/tracks/0bvgtrLM5R7Hq1KZvMV0TI,https://api.spotify.com/v1/audio-analysis/0bvgtrLM5R7Hq1KZvMV0TI,97760,4
59,Un-thinkable (I'm Ready),Alicia Keys,1Pd25Ye0bYU6cQsR2X1EEr,0.595,0.507,7,-7.892,1,0.0618,0.732,1.97e-05,0.106,0.337,86.099,audio_features,spotify:track:1Pd25Ye0bYU6cQsR2X1EEr,https://api.spotify.com/v1/tracks/1Pd25Ye0bYU6cQsR2X1EEr,https://api.spotify.com/v1/audio-analysis/1Pd25Ye0bYU6cQsR2X1EEr,249240,4
60,U Know What's Up,Donell Jones,6sqsLHjprZPtlSY5sj0BzR,0.82,0.471,10,-6.9,0,0.0533,0.061,0.000904,0.0911,0.882,103.035,audio_features,spotify:track:6sqsLHjprZPtlSY5sj0BzR,https://api.spotify.com/v1/tracks/6sqsLHjprZPtlSY5sj0BzR,https://api.spotify.com/v1/audio-analysis/6sqsLHjprZPtlSY5sj0BzR,239787,4
61,Don't Mess With My Man - Remix,Nivea,61L1f0QLqyJO38ByoGuZHs,0.682,0.575,11,-8.936,0,0.281,0.114,8.18e-06,0.107,0.9,200.073,audio_features,spotify:track:61L1f0QLqyJO38ByoGuZHs,https://api.spotify.com/v1/tracks/61L1f0QLqyJO38ByoGuZHs,https://api.spotify.com/v1/audio-analysis/61L1f0QLqyJO38ByoGuZHs,188056,4
