,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
307,0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019,audio_features,2b235MLvfjqUzfuTTaJ14d,spotify:track:2b235MLvfjqUzfuTTaJ14d,https://api.spotify.com/v1/tracks/2b235MLvfjqUzfuTTaJ14d,https://api.spotify.com/v1/audio-analysis/2b235MLvfjqUzfuTTaJ14d,189333,4
308,0.632,0.639,5,-5.938,1,0.0259,0.00143,0.0,0.221,0.733,95.506,audio_features,79z9QkhHePTFsSeVw9uyj0,spotify:track:79z9QkhHePTFsSeVw9uyj0,https://api.spotify.com/v1/tracks/79z9QkhHePTFsSeVw9uyj0,https://api.spotify.com/v1/audio-analysis/79z9QkhHePTFsSeVw9uyj0,196893,4
309,0.775,0.731,8,-5.446,1,0.134,0.189,0.0,0.129,0.821,131.103,audio_features,1a0Z0QJChrb1h7Fg2vuXrd,spotify:track:1a0Z0QJChrb1h7Fg2vuXrd,https://api.spotify.com/v1/tracks/1a0Z0QJChrb1h7Fg2vuXrd,https://api.spotify.com/v1/audio-analysis/1a0Z0QJChrb1h7Fg2vuXrd,256427,4
310,0.693,0.822,1,-6.01,1,0.102,0.0995,1.73e-05,0.061,0.765,121.969,audio_features,2wNGoon7FlKnVEyYS1ZRBQ,spotify:track:2wNGoon7FlKnVEyYS1ZRBQ,https://api.spotify.com/v1/tracks/2wNGoon7FlKnVEyYS1ZRBQ,https://api.spotify.com/v1/audio-analysis/2wNGoon7FlKnVEyYS1ZRBQ,207480,4
311,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,audio_features,2DHc2e5bBn4UzY0ENVFrUl,spotify:track:2DHc2e5bBn4UzY0ENVFrUl,https://api.spotify.com/v1/tracks/2DHc2e5bBn4UzY0ENVFrUl,https://api.spotify.com/v1/audio-analysis/2DHc2e5bBn4UzY0ENVFrUl,232467,5
312,0.659,0.628,0,-8.685,0,0.179,0.186,0.0,0.105,0.262,94.05,audio_features,3JA9Jsuxr4xgHXEawAdCp4,spotify:track:3JA9Jsuxr4xgHXEawAdCp4,https://api.spotify.com/v1/tracks/3JA9Jsuxr4xgHXEawAdCp4,https://api.spotify.com/v1/audio-analysis/3JA9Jsuxr4xgHXEawAdCp4,219427,4
313,0.447,0.839,5,-3.948,1,0.254,0.0304,1.76e-06,0.189,0.677,174.959,audio_features,7nqlRkgNyEpb9nvb03GMp7,spotify:track:7nqlRkgNyEpb9nvb03GMp7,https://api.spotify.com/v1/tracks/7nqlRkgNyEpb9nvb03GMp7,https://api.spotify.com/v1/audio-analysis/7nqlRkgNyEpb9nvb03GMp7,221240,4
314,0.603,0.872,5,-5.404,0,0.0792,0.0213,0.0,0.366,0.691,150.104,audio_features,5UXBiDs2tWUAEndom71qFM,spotify:track:5UXBiDs2tWUAEndom71qFM,https://api.spotify.com/v1/tracks/5UXBiDs2tWUAEndom71qFM,https://api.spotify.com/v1/audio-analysis/5UXBiDs2tWUAEndom71qFM,206373,4
315,0.565,0.646,7,-4.749,1,0.0335,0.0412,0.0,0.362,0.481,91.973,audio_features,3MGJF1CDFGfjXESL2Heva0,spotify:track:3MGJF1CDFGfjXESL2Heva0,https://api.spotify.com/v1/tracks/3MGJF1CDFGfjXESL2Heva0,https://api.spotify.com/v1/audio-analysis/3MGJF1CDFGfjXESL2Heva0,213413,4
316,0.668,0.941,3,-4.19,1,0.0315,0.0283,0.0194,0.0455,0.464,127.994,audio_features,2x0pa8u4iBwuiACO824y75,spotify:track:2x0pa8u4iBwuiACO824y75,https://api.spotify.com/v1/tracks/2x0pa8u4iBwuiACO824y75,https://api.spotify.com/v1/audio-analysis/2x0pa8u4iBwuiACO824y75,281390,4
